time_s,vx_mps,vy_mps,speed_mps,x_m,y_m,dist_from_start_m,path_length_m,true_displacement
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.100032,0.031330772598084,0.078632253886478,0.08464424766551112,0.0015670399222657,0.003932870810386,0.004233566691238102,0.004233566691238102,
0.202619,0.0634573485359698,0.159274688854336,0.17145046396222172,0.0064290544136553,0.016135950577862,0.01736956078042694,0.01736956078098497,
0.300072,0.0939719735526462,0.235883006263648,0.25391243462531615,0.0141000342764063,0.0353906020090285,0.03809600605256783,0.038096006057260726,
0.400055,0.12527457732859,0.31448185020724,0.3385152195022047,0.0250604982247856,0.0629041667312929,0.06771235310807606,0.06771235312589757,
0.500029,0.156570091301162,0.393075320310824,0.42311038858377265,0.039149067675581,0.0982728270139793,0.10578373234664544,0.10578373239381961,
0.59999,0.186473126187477,0.469902047194,0.5055493652920978,0.056294539207272,0.141404867330554,0.15219859279681486,0.1521986017345239,
0.69999,0.21380556864619,0.544602874777709,0.5850684681302399,0.0763084739489553,0.19213011342914,0.2067292037490412,0.206729401981783,
0.800009,0.238348283946992,0.617945616778391,0.662319175138469,0.0989204620402141,0.250268582217614,0.2691089390106989,0.26911035707632763,
0.900046,0.2648278295546,0.687909621442188,0.7371251091770885,0.124088576473393,0.31558550245055,0.33910497514510046,0.3391084574279608,
1.000032,0.29752935215392,0.757331516946731,0.8136797539290062,0.152202499058547,0.387837442682028,0.4166335112131553,0.4166373908034246,
1.100058,0.335734029967431,0.830094059870113,0.895418051588094,0.183873900588583,0.467229358055369,0.5021084388321833,0.5021134336547669,
1.200061,0.376408538156635,0.904510306121977,0.9797052013121537,0.219482097208638,0.553962178261522,0.595857773247402,0.5958712374230153,
1.30004,0.413419831750887,0.975689335957786,1.0596629830218083,0.25896522250613,0.647952418269268,0.6977860150566517,0.6978177057285487,
1.399998,0.440423134287361,1.04386532781314,1.1329727974783583,0.301639440105756,0.748887740809876,0.8073532065723366,0.8074034173159487,
1.499978,0.454695516341673,1.11788045948709,1.206815948802587,0.346386421450701,0.856953412717015,0.9243120168713383,0.9243670090196334,
1.599985,0.458952097572843,1.19603007917255,1.2810640023636635,0.392071999913076,0.972657038336882,1.048704995383408,1.0487635566446547,
1.699958,0.460551931733842,1.27018336268266,1.3511009794458753,0.438034788074014,1.09593441654818,1.180231638678546,1.180330611313286,
1.79996,0.463090539215263,1.34157026715476,1.4192475574135675,0.484217835263941,1.22652470979368,1.3186469488540775,1.3188466700851582,
1.899968,0.466856605368321,1.41643299148744,1.4913877796703614,0.530718912281698,1.36443590473882,1.464017725983504,1.4643865197999624,
1.999974,0.474135321687941,1.4947129995908,1.5681107277287067,0.577771331610292,1.51000193773071,1.6167639170828958,1.6173682184624816,
2.099968,0.480434569975079,1.56971808673668,1.641594422461103,0.625496962483769,1.66321429875382,1.7769435144808579,1.7778417783175158,
2.199966,0.484130948438072,1.63827712527647,1.7083134122401784,0.673724273838908,1.82361085135927,1.9440835718546272,1.9453318605560124,
2.299963,0.485830088989589,1.70344085675279,1.7713671634707218,0.722220870768735,1.99069173788376,2.117653555578111,2.1193087054394155,
2.399955,0.488024826870582,1.76955803681019,1.8356208424621887,0.77090972114208,2.16432779056633,2.297524011445602,2.2996419606694536,
2.499957,0.493221452695721,1.83961255717273,1.904584406611287,0.819973016366674,2.34478992943607,2.484028091780419,2.4866547690643253,
2.599974,0.50222252083147,1.91482373502975,1.9795902092765558,0.869753676316809,2.53254365675468,2.6777320311851542,2.680895795181626,
2.699986,0.519370045338449,1.99198731350529,2.0585817207876116,0.920839434180702,2.72790765004772,2.879136226497647,2.8828285674894696,
2.79999,0.548758532436799,2.06453682845748,2.136222891689783,0.974247999326619,2.93074197019415,3.088431261991986,3.0925765978978865,
2.900016,0.588686039012265,2.13382980865599,2.2135448730117964,1.0311350146785,3.1407148808161,3.3056511281554983,3.3101191356018917,
3.000035,0.633247635262705,2.20314506650103,2.2923461238682163,1.09224330676216,3.35760482583527,3.5307939061405205,3.5354532688613705,
3.100026,0.68043546332924,2.27174163896329,2.371455775247705,1.15792155011781,3.58132902411831,3.7638676776979603,3.7686187649101486,
3.200028,0.727298112649019,2.33564248379084,2.4462600754522135,1.2283096366503,3.81170283764014,4.004725094929974,4.009505827000034,
3.300001,0.770687165855979,2.39431328612193,2.515292193705359,1.30318867777429,4.04813677173288,4.252729952928472,4.257513641373328,
3.399992,0.814639254294745,2.45490670065852,2.5865428710106464,1.38244786481293,4.29057594958196,4.507793704026058,4.512579855690639,
3.500001,0.870426899710579,2.52028585254219,2.666361522049117,1.46670875531089,4.53935796560849,4.7704303068841565,4.775243879046967,
3.59996,0.951050692853742,2.58805099396966,2.757264109178685,1.55774529464846,4.79467008702873,5.041372000403016,5.046300941007479,
3.699956,1.05531472077613,2.65798500211959,2.859820524330063,1.65805955259913,5.0569613947612,5.321843668135167,5.3271205992584685,
3.799987,1.16988001669843,2.729872560912,2.969987113152271,1.76935377999129,5.32643778470501,5.612624365936373,5.618674933453599,
3.899959,1.28217614419384,2.80153222548694,3.080999590259887,1.89192225924965,5.60293058435794,5.9137298693952784,5.92111715994921,
3.999934,1.38429261958214,2.87211587102138,3.1883092122945795,2.0252123665789,5.88654206858215,6.22517972872523,6.234488707310649,
4.099933,1.48106610799582,2.94226321077017,3.294005102865731,2.16847887027843,6.17725811548219,6.546817428043537,6.558589171684697,
4.199878,1.5783195345376,3.01494707732043,3.4030866036799576,2.32136401929994,6.4749548066038,6.878500611155168,6.893248982083383,
4.299869,1.67562780441026,3.0874725320747,3.512864240933388,2.4840467434843,6.78004832618531,7.220771671312089,7.239005723794485,
4.399839,1.76873120840687,3.15781039749145,3.6194166096344222,2.65621302873997,7.09221879341968,7.5733107071995445,7.595504854778085,
4.499845,1.85426903728231,3.22617397704431,3.721090188746003,2.83737391002517,7.41143716409959,7.935999719171372,7.962546586857104,
4.599882,1.92478802875468,3.29367574928784,3.8148537189627785,3.02639667588273,7.73755026763613,8.30835489034923,8.339480748628992,
4.699859,1.96943160361876,3.36209375526626,3.8964516243029044,3.22106287397563,8.07026220151453,8.689325522691522,8.724957284393556,
4.799859,1.9805222019609,3.43333940029877,3.9636205204464225,3.41856056425462,8.41003385929278,9.078283199257879,9.117958705631336,
4.899845,1.96745320962673,3.50930948673044,4.023198380110877,3.61593169900612,8.75711770510203,9.47428480429466,9.517236254279934,
4.999834,1.94534641753972,3.58821406885419,4.081623805320349,3.81155015996649,9.11195484650171,9.877025652828213,9.92242260546319,
5.099832,1.92132897824561,3.66361351914273,4.136854972112474,4.00488006308036,9.47453897407397,10.28620207320978,10.33332855699633,
5.199893,1.8970335935119,3.73192910706302,4.186410313748147,4.19591465172667,9.84454166943436,10.70143450411224,10.74973726083574,
5.299929,1.87390876231983,3.79662575452128,4.233899050449044,4.38452964648067,10.2211049265011,11.121829262284733,11.170896972606421,
5.399935,1.85213975531971,3.86348421632501,4.28449903291251,4.5708432505082,10.6041334053733,11.54730502323682,11.596835436087801,
5.499962,1.83012174142903,3.93641554730879,4.341049752023764,4.75500603587584,10.9942336922018,11.978449685996969,12.028221765609315,
5.599953,1.80845366322749,4.01173857822266,4.400517136887538,4.93691843251934,11.3916056317848,12.415387327001136,12.465253318727095,
